"Make","Model","Fuel Type","Vehicle Type"
"ABARTH","500E","BEV","CAR"
"ABARTH","500E SCORPIONISSIMA","BEV","CAR"
"ABARTH","500E TURISMO","BEV","CAR"
"ABARTH","MODEL 3 STANDARD RANGE +","BEV","CAR"
"AUDI","E-TRON EDITION 1 55 QUATTRO","BEV","CAR"
"AUDI","E-TRON GT VORSPRUNG QUATTRO","BEV","CAR"
"AUDI","E-TRON S VORSPRUNG QUATTRO","BEV","CAR"
"AUDI","E-TRON VORSPRUNG 50 QUATTRO","BEV","CAR"
"AUDI","E-TRON SPORT 55 QUATTRO","BEV","CAR"
"AUDI","E-TRON 55 QUATTRO","BEV","CAR"
"AUDI","E-TRON TECHNIK 55 QUATTRO","BEV","CAR"
"AUDI","E-TRON S LINE 55 QUATTRO","BEV","CAR"
"AUDI","E-TRON LAUNCH ED 55 QUAT","BEV","CAR"
"AUDI","E-TRON S LINE 50 QUATTRO","BEV","CAR"
"AUDI","E-TRON BLACK EDITION 55 QUAT","BEV","CAR"
"AUDI","E-TRON SPORT 50 QUATTRO","BEV","CAR"
"AUDI","A3 S LINE COMP 45 TFSI E SA","PHEV","CAR"
"AUDI","A3 E-TRON 40 S-A","PHEV","CAR"
"AUDI","E-TRON LAUNCH EDITION 50 QUAT","BEV","CAR"
"AUDI","E-TRON GT QUATTRO","BEV","CAR"
"AUDI","Q4 E-TRON BLACK ED 45 QUATTRO","BEV","CAR"
"AUDI","Q4 E-TRON BLACK ED 50 QUATTRO","BEV","CAR"
"AUDI","Q4 E-TRON BLACK ED 55 QUATTRO","BEV","CAR"
"AUDI","Q4 E-TRON BLACK EDITION 40","BEV","CAR"
"AUDI","Q4 E-TRON EDITION 1 45","BEV","CAR"
"AUDI","Q4 E-TRON EDITION 1 50 QUATTRO","BEV","CAR"
"AUDI","Q4 E-TRON EDITION 1 55 QUATTRO","BEV","CAR"
"AUDI","Q4 E-TRON S LINE 45 QUATTRO","BEV","CAR"
"AUDI","Q4 E-TRON S LINE 50 QUATTRO","BEV","CAR"
"AUDI","Q4 E-TRON S LINE 55 QUATTRO","BEV","CAR"
"AUDI","Q4 E-TRON S LINE LAUNCH ED 40","BEV","CAR"
"AUDI","Q4 E-TRON SPORT 55 QUATTRO","BEV","CAR"
"AUDI","Q4 E-TRON VORSPRUNG 35","BEV","CAR"
"AUDI","Q4 E-TRON VORSPRUNG 40","BEV","CAR"
"AUDI","Q4 E-TRON VORSPRUNG 45","BEV","CAR"
"AUDI","Q4 E-TRON VORSPRUNG 50 QUATTRO","BEV","CAR"
"AUDI","Q4 E-TRON VORSPRUNG 55 QUATTRO","BEV","CAR"
"AUDI","Q4 E-TRON SPORT 50 QUATTRO","BEV","CAR"
"AUDI","RS E-TRON GT CARBON VORSPRUNG","BEV","CAR"
"AUDI","RS E-TRON GT CARBON BLACK","BEV","CAR"
"AUDI","Q4 E-TRON SPORT 35","BEV","CAR"
"AUDI","Q4 E-TRON S LINE 40","BEV","CAR"
"AUDI","RS E-TRON GT","BEV","CAR"
"AUDI","Q4 E-TRON SPORT 40","BEV","CAR"
"AUDI","Q8 E-TRON SPORT 50 QUATTRO","BEV","CAR"
"AUDI","Q4 E-TRON EDITION 1 35","BEV","CAR"
